state,registered_voters,turnout_rate,APC_votes,PDP_votes,LP_votes,NNPP_votes,total_valid_votes
Abia,3419110,0.347,243254,409227,401891,132059,1186431
Adamawa,3434489,0.245,140879,308428,286467,105675,841449
Akwa Ibom,1478167,0.324,79943,158284,227691,13008,478926
Anambra,1991743,0.379,253065,228660,77620,195525,754870
Bauchi,3783384,0.267,336945,186752,219061,267405,1010163
Bayelsa,1848143,0.257,84156,144674,120160,125982,474972
Benue,3852991,0.295,463725,363809,318483,0,1136632
Borno,3646609,0.372,596455,477636,300941,0,1356538
Cross River,1268148,0.257,72453,104558,112113,36790,325914
Delta,2003591,0.226,191446,97216,165280,0,452811
Ebonyi,2005889,0.288,122692,168643,65005,221356,577696
Edo,3295505,0.344,489567,423653,384489,0,1133653
Ekiti,2784398,0.234,136040,105099,149942,260468,651549
Enugu,1223247,0.34,129723,123393,202171,0,415903
Gombe,3729467,0.307,220147,401359,148637,374803,1144946
Imo,3600070,0.288,278349,231596,109521,417354,1036820
Jigawa,3777906,0.333,463842,431278,163064,199858,1258042
Kaduna,1488998,0.324,204787,174887,134975,0,482435
Kano,1551279,0.279,151764,136974,145647,0,432806
Katsina,2521685,0.362,266245,164220,351718,130666,912849
Kebbi,1384064,0.335,102374,99231,53865,208191,463661
Kogi,3516121,0.224,143634,124330,279258,240389,787611
Kwara,2074371,0.365,170196,191251,304539,91159,757145
Lagos,2413475,0.371,295176,289837,404887,0,895399
Nasarawa,2619945,0.349,310901,336361,385374,0,914360
Niger,1400235,0.287,166768,92865,59811,82423,401867
Ogun,3865702,0.365,326839,440116,141391,502635,1410981
Ondo,1327948,0.358,72302,132013,126916,144174,475405
Osun,3038756,0.331,232168,212261,168291,393108,1005828
Oyo,1261087,0.303,137905,92052,186741,0,382109
Plateau,3490227,0.26,325679,297707,144499,139574,907459
Rivers,1970746,0.318,188512,102069,132520,203596,626697
Sokoto,1469536,0.321,167089,133371,131663,39598,471721
Taraba,1881669,0.259,171372,165897,95060,55023,487352
Yobe,2941093,0.279,278738,253047,257911,30868,820564
Zamfara,3115631,0.348,211660,300388,410194,161997,1084239
FCT,1511955,0.272,88859,134802,174288,13302,411251
